pyqt5-common 5.7-2
python 3.5.2-3
python-appdirs 1.4.0-4
python-cffi 1.9.1-1
python-cryptography 1.6-1
python-dbus-common 1.2.4-1
python-google-api-python-client 1.5.5-1
python-httplib2 0.9.2-1
python-idna 2.1-1
python-oauth2client 4.0.0-1
python-packaging 16.8-1
python-ply 3.9-1
python-pyasn1 0.1.9-1
python-pyasn1-modules 0.0.8-1
python-pycparser 2.17-1
python-pyopenssl 16.2.0-1
python-pyparsing 2.1.10-1
python-rsa 3.4.2-1
python-setuptools 1:28.8.0-1
python-six 1.10.0-2
python-uritemplate 3.0.0-1
python-xdg 0.25-3
python2 2.7.12-2
python2-appdirs 1.4.0-4
python2-apsw 3.12.2-1
python2-cairo 1.10.0-2
python2-cffi 1.9.1-1
python2-chardet 2.3.0-2
python2-cherrypy 8.1.2-1
python2-crypto 2.6.1-3
python2-cryptography 1.6-1
python2-cssselect 1.0.0-1
python2-cssutils 1.0.1-1
python2-dateutil 2.6.0-1
python2-dbus 1.2.4-1
python2-dnspython 1.15.0-1
python2-enum34 1.1.6-1
python2-gobject2 2.28.6-12
python2-html5lib 0.9999999-2
python2-idna 2.1-1
python2-ipaddress 1.0.17-1
python2-jinja 2.8-2
python2-keybinder2 0.3.1-1
python2-lxml 3.6.4-1
python2-markupsafe 0.23-3
python2-mechanize 0.2.5-4
python2-netifaces 0.10.5-1
python2-notify 0.1.1-13
python2-packaging 16.8-1
python2-paramiko 2.0.2-1
python2-pillow 3.4.2-1
python2-ply 3.9-1
python2-psutil 5.0.0-1
python2-pyasn1 0.1.9-1
python2-pycparser 2.17-1
python2-pygments 2.1.3-1
python2-pyparsing 2.1.10-1
python2-pyqt5 5.7-2
python2-setuptools 1:28.8.0-1
python2-sip 4.18.1-1
python2-six 1.10.0-2
python2-yaml 3.12-1
qca-qt4 2.1.1-6
qca-qt5 2.1.1-6
qimageblitz 0.0.6-5
qjson 0.8.1-5
qrencode 3.4.4-1
qt4 4.8.7-11
qt5-base 5.7.0-7
qt5-declarative 5.7.0-3
qt5-graphicaleffects 5.7.0-1
qt5-location 5.7.0-1
qt5-multimedia 5.7.0-1
qt5-quickcontrols 5.7.0-1
qt5-script 5.7.0-1
qt5-sensors 5.7.0-1
qt5-svg 5.7.0-1
qt5-tools 5.7.0-2
qt5-translations 5.7.0-1
qt5-webchannel 5.7.0-1
qt5-webkit 5.7.0-2
qt5-x11extras 5.7.0-1
qt5-xmlpatterns 5.7.0-2
qtscriptgenerator 0.2.0-4
qtwebkit 2.3.4-4
randrproto 1.5.0-1
re2 20160901-1
readline 7.0-1
recode 3.6-9
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rest 0.8.0-1
rfkill 0.5-1
rpcbind 0.2.3-3
rsync 3.1.2-2
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-2
rubberband 1.8.1-3
run-parts 4.8.1-1
rust 1:1.13.0-1
s-nail 14.8.14-1
sbc 1.3-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sddm 0.14.0-2
sddm-kcm 5.8.4-1
sdl 1.2.15-7
sdl2 2.0.5-2
sdl_image 1.2.12-3
sed 4.2.2-4
semver 5.3.0-1
serf 1.3.9-1
shadow 4.4-3
shared-mime-info 1.7-1
signon-kwallet-extension 16.08.3-1
signon-plugin-oauth2 0.24-1
signon-ui 0.17+15.10.20150810-2
signond 8.59-1
sip 4.18.1-1
slang 2.3.0-1
smbclient 4.5.1-2
smplayer 16.11.0-1
snappy 1.1.3-2
socat 1.7.3.1-3
solid 5.28.0-1
sonnet 5.28.0-3
sound-theme-freedesktop 0.8-2
spectacle 16.08.3-1
speech-dispatcher 0.8.5-1
speex 1.2rc2-1
speexdsp 1.2rc3-2
spotify 1.0.31.56-1
sqlite 3.15.2-1
startup-notification 0.12-4
steam 1.0.0.53-1
strigi 0.7.8-9
subversion 1.9.4-1
sudo 1.8.18.p1-1
sysfsutils 2.1.0-9
systemd 232-4
systemd-sysvcompat 232-4
systemsettings 5.8.4-1
taglib 1.11.1-1
taglib-extras 1.0.1-4
talloc 2.1.8-1
tar 1.29-2
tcpdump 4.8.1-1
tdb 1.3.11-1
terminator 0.98-2
tevent 1:0.9.31-1
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
threadweaver 5.28.0-1
tre 0.8.0-4
tslib 1.2-1
ttf-bitstream-vera 1.10-10
ttf-dejavu 2.37-1
ttf-hack 2.020-1
ttf-liberation 2.00.1-6
ttf-oxygen 1:5.4.3-1
tzdata 2016j-1
udisks2 2.1.7-1
uglify-js 2.7.5-1
unrar 1:5.4.5-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
usbutils 008-1
user-manager 5.8.4-1
util-linux 2.28.2-2
v4l-utils 1.10.1-1
vamp-plugin-sdk 2.6-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim-runtime 8.0.0086-1
vlc 2.2.4-5
vte 0.28.2-8
vte-common 0.46.1-1
wavpack 4.80.0-1
wayland 1.12.0-1
wayland-protocols 1.7-1
webkit2gtk 2.14.2-2
webrtc-audio-processing 0.3-1
wget 1.18-1
which 2.21-2
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-2
wxgtk 3.0.2-5
x11vnc 1:0.9.13-9
x265 2.1-2
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
